#header_line 1:mpirun -np 2 -ppn=2 -env I_MPI_DEBUG 5 -genv I_MPI_PIN_PROCESSOR_LIST 0,2  ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 0.23166661537227817 2749.7541948421544
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,0.23,0.0,0.23166661537227817,0.0
1,1000,0.24,4.22,0.2320302842419814,4.309782247894472
2,1000,0.23,8.52,0.23239395311168465,8.606075903527634
4,1000,0.23,17.06,0.23312129085109115,17.158449944218287
8,1000,0.23,34.15,0.23457596632990413,34.104090564627235
16,1000,0.23,68.12,0.23748531728753008,67.37258615709852
32,1000,0.24,131.46,0.24330401920278197,131.5226937263604
64,1000,0.24,261.99,0.25494142303328576,251.0380590118696
128,1000,0.26,497.58,0.2782162306942934,460.0738054734398
256,1000,0.28,907.89,0.32476584601630865,788.2602285313726
512,1000,0.44,1169.11,0.4178650766603391,1225.2758811337046
1024,1000,0.44,2321.84,0.6040635379484001,1695.1859128558617
2048,1000,0.59,3447.24,0.9764604605245218,2097.3711510037824
4096,1000,0.84,4878.48,1.7212543056767655,2379.6599877724216
8192,1000,7.89,1038.77,3.210841995981253,2551.355691202885
16384,1000,2.38,6889.92,6.1900173765902275,2646.842327448381
32768,1000,9.99,3281.08,12.148368137808177,2697.3170082012384
65536,640,15.79,4150.02,24.065069660244077,2723.283203632967
131072,320,28.92,4532.51,47.89847270511587,2736.454684201249
262144,160,55.64,4711.46,95.56527879485947,2743.0883193750587
524288,80,121.63,4310.44,190.89889097434667,2746.4172123999124
1048576,40,242.81,4318.56,381.566115333321,2748.0846906020615
2097152,20,153.68,13645.82,762.9005640512698,2748.9191892366503
4194304,10,1042.33,4023.97,1525.5694614871672,2749.3366286391683
8388608,5,2069.91,4052.65,3050.9072563589625,2749.545395886992
16777216,2,2433.64,6893.86,6101.582846102552,2749.6497914007045
33554432,1,12363.98,2713.89,12202.934025589733,2749.701992130406
67108864,1,25895.01,2591.58,24405.63638456409,2749.7280932385174
134217728,1,49259.98,2724.68,48811.04110251281,2749.741143978394
268435456,1,93712.2,2864.47,97621.85053841026,2749.7476693947888
536870912,1,197003.99,2725.18,195243.46941020514,2749.7509321146
