#header_line 1:mpirun -np 2 -ppn=1 -env I_MPI_DEBUG 5 -host ct1pt-tnode007,ct1pt-tnode009 ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007,ct1pt-tnode009 
#header_line 3: 1.3516666635228851 12178.657717580441
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,1.35,0.0,1.3516666635228851,0.0
1,1000,1.35,0.74,1.351748774378054,0.7397824351348901
2,1000,1.36,1.47,1.351830885233223,1.4794750007912065
4,1000,1.35,2.96,1.3519951069435607,2.9585905891647437
8,1000,1.35,5.93,1.3523235503642363,5.915744052409108
16,1000,1.35,11.87,1.3529804372055878,11.825743787579075
32,1000,1.37,23.28,1.3542942108882903,23.62854374088404
64,1000,1.56,40.95,1.3569217582536954,47.16557871572895
128,1000,1.62,78.88,1.3621768529845057,93.9672405382269
256,1000,1.87,136.91,1.3726870424461266,186.4955318175134
512,1000,1.95,262.26,1.393707421369368,367.36548299135944
1024,1000,2.13,481.39,1.435748179215851,713.2169936369122
2048,1000,2.82,726.71,1.5198296949088168,1347.519400930557
4096,1000,3.57,1147.92,1.6879927262947487,2426.5507405301328
8192,1000,4.62,1772.44,2.024318789066612,4046.7934419446
16384,1000,6.29,2605.81,2.6969709146103393,6074.963549381538
32768,1000,10.6,3090.76,4.042275165697793,8106.3259320060315
65536,640,13.43,4880.78,6.732883667872702,9733.71934416721
131072,320,22.75,5761.16,12.114100672222518,10819.787910508823
262144,160,33.27,7879.75,22.876534680922152,11459.078206395243
524288,80,55.89,9380.76,44.40140269832142,11807.9152490338
1048576,40,98.57,10637.77,87.45113873311996,11990.421339166367
2097152,20,185.53,11303.49,173.55061080271702,12083.806506356404
4194304,10,353.95,11850.04,345.7495549419112,12131.046707217536
8388608,5,698.36,12011.8,690.1474432202995,12154.805588872265
16777216,2,1387.13,12094.94,1378.943219777076,12166.719963068716
33554432,1,2765.97,12131.15,2756.534772890629,12172.685913485968
67108864,1,5501.65,12197.94,5511.717879117736,12175.671083285228
134217728,1,11026.11,12172.71,11022.084091571947,12177.164217303494
268435456,1,21960.05,12223.81,22042.816516480372,12177.91092165121
536870912,1,44122.41,12167.76,44084.281366297226,12178.284308167082
