#header_line 1:mpirun -np 2 --mca pml ob1 --report-bindings  --map-by core --mca btl tcp,self ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 4.989142856606296 5098.044985473926
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,4.94,0.0,4.989142856606296,0.0
1,1000,5.02,0.2,4.9893390102304505,0.20042735078725618
2,1000,5.01,0.4,4.989535163854604,0.40083894277135923
4,1000,5.01,0.8,4.989927471102912,0.8016148577638322
8,1000,5.04,1.59,4.990712085599527,1.6029776638655708
16,1000,5.04,3.18,4.992281314592757,3.2049475964487373
32,1000,5.01,6.38,4.995419772579219,6.40586806651443
64,1000,5.05,12.68,5.0016966885521414,12.795657950727577
128,1000,5.09,25.14,5.0142505204979875,25.52724469524266
256,1000,5.13,49.89,5.039358184389679,50.8001199027698
512,1000,5.18,98.93,5.08957351217306,100.59781998932066
1024,1000,5.81,176.3,5.190004167739824,197.30234637671555
2048,1000,5.6,365.96,5.390865478873352,379.90189293835164
4096,1000,6.44,635.72,5.792588101140408,707.1105227029012
8192,1000,6.9,1186.51,6.5960333456745195,1241.9585485225098
16384,1000,8.96,1828.94,8.202923834742743,1997.3365997386259
32768,1000,14.23,2302.24,11.416704812879189,2870.1801909631936
65536,640,29.81,2198.6,17.84426676915208,3672.6642146649615
131072,320,44.11,2971.66,30.699390681697867,4269.530993595306
262144,160,62.5,4194.54,56.409638506789435,4647.14908549624
524288,80,97.21,5393.24,107.83013415697258,4862.1658880324985
1048576,40,164.52,6373.51,210.67112545733886,4977.312375977874
2097152,20,319.17,6570.55,416.3531080580714,5036.955313679313
4194304,10,662.82,6327.97,827.7170732595366,5067.316037692563
8388608,5,1551.11,5408.15,1650.445003662467,5082.634066197311
16777216,2,3283.5,5109.56,3295.900864468327,5090.327861759394
33554432,1,6614.76,5072.66,6586.812586080048,5094.18350097144
67108864,1,13111.35,5118.38,13168.63602930349,5096.11351173091
134217728,1,26252.01,5112.67,26332.282915750377,5097.0790656255285
268435456,1,52266.82,5135.87,52659.57668864414,5097.561979792504
536870912,1,105526.59,5087.54,105314.16423443168,5097.803471192283
