#header_line 1:mpirun -np 2 --mca pml ob1 --report-bindings  --map-by node --mca btl tcp,self ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007,ct1pt-tnode009 
#header_line 3: 15.793333322614759 2179.547523579074
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,16.15,0.0,15.793333322614759,0.0
1,1000,15.73,0.06,15.793792133440942,0.06331601628988473
2,1000,15.71,0.13,15.794250944267127,0.1266283540167471
4,1000,15.7,0.25,15.795168565919493,0.2532419950636434
8,1000,15.71,0.51,15.797003809224229,0.5064251485037067
16,1000,15.76,1.01,15.800674295833698,1.0126150125263236
32,1000,15.74,2.03,15.808015269052637,2.0242895427009375
64,1000,15.83,4.04,15.822697215490516,4.044822392059908
128,1000,16.17,7.92,15.852061108366275,8.07465976348307
256,1000,16.29,15.71,15.910788894117792,16.089711308698405
512,1000,17.12,29.9,16.028244465620823,31.94361061176694
1024,1000,17.55,58.34,16.26315560862689,62.96441014539718
2048,1000,39.22,52.22,16.73297789463902,122.39303804113352
4096,1000,39.25,104.36,17.672622466663285,231.770921815734
8192,1000,40.07,204.43,19.55191161071181,418.98716417641174
16384,1000,42.05,389.62,23.310489898808857,702.8595311005114
32768,1000,49.22,665.78,30.827646475002958,1062.9419935307226
65536,640,80.24,816.71,45.86195962739116,1428.9838579173681
131072,320,136.26,961.96,75.93058593216756,1726.2081991187704
262144,160,204.97,1278.93,136.06783854172036,1926.568414766307
524288,80,309.12,1696.07,256.34234376082594,2045.264907498756
1048576,40,502.05,2088.59,496.89135419903715,2110.2721774868664
2097152,20,898.21,2334.82,977.9893750754595,2144.3504944398687
4194304,10,1887.7,2221.92,1940.1854168283041,2161.805755068807
8388608,5,3872.79,2166.04,3864.5775003339936,2170.6403867628533
16777216,2,7867.01,2132.6,7713.361667345373,2175.0848363595583
33554432,1,15578.42,2153.91,15410.930001368131,2177.313893257652
67108864,1,31258.69,2146.89,30806.066669413645,2178.4301358612015
134217728,1,62340.99,2152.96,61596.34000550468,2178.988686470744
268435456,1,122996.54,2182.46,123176.88667768674,2179.2680691987857
536870912,1,246741.65,2175.84,246337.98002205088,2179.4077874306763
