#header_line 1:mpirun -np 2 --mca pml ob1 --report-bindings  --map-by socket --mca btl tcp,self ./IMB-MPI1 PingPong -msglog 29
#header_line 2:  ct1pt-tnode007 
#header_line 3: 8.801428563073863 3140.9439121325977
#header: #bytes, #repetitions, t[usec], Mbytes/sec, t[usec] computed , Mbytes/sec (computed)
0,1000,8.7,0.0,8.801428563073863,0.0
1,1000,8.86,0.11,8.801746938704875,0.1136138095044055
2,1000,8.84,0.23,8.802065314335888,0.22721940005859853
4,1000,8.85,0.45,8.802702065597913,0.45440592788349754
8,1000,8.83,0.91,8.803975568121963,0.9086803953621756
16,1000,8.85,1.81,8.806522573170062,1.816835177229384
32,1000,8.85,3.62,8.811616583266261,3.631569723627074
64,1000,8.88,7.21,8.821804603458661,7.254751479635842
128,1000,9.18,13.94,8.84218064384346,14.476067064873018
256,1000,9.19,27.85,8.882932724613056,28.819310911887094
512,1000,9.27,55.24,8.96443688615225,57.114574680190834
1024,1000,10.27,99.68,9.127445209230634,112.18911497430007
2048,1000,9.78,209.37,9.453461855387406,216.6402140643188
4096,1000,11.51,355.78,10.10549514770095,405.32402817806116
8192,1000,12.43,658.98,11.409561732328038,717.9942746432279
16384,1000,16.83,973.62,14.017694901582214,1168.8084321303566
32768,1000,26.74,1225.29,19.233961240090565,1703.6532199981552
65536,640,62.51,1048.47,29.666493917107264,2209.0915152669418
131072,320,91.08,1439.02,50.531559271140665,2593.864149267549
262144,160,136.27,1923.76,92.26168997920746,2841.3093241526144
524288,80,207.33,2528.71,175.72195139534108,2983.6226825210438
1048576,40,357.42,2933.7,342.64247422760826,3060.2627486966458
2097152,20,676.18,3101.45,676.4835198921427,3100.0784769071183
4194304,10,1340.57,3128.74,1344.1656112212115,3120.377403636565
8388608,5,2633.86,3184.91,2679.529793879349,3130.6268805674317
16777216,2,5396.0,3109.2,5350.258159195625,3135.77691034676
33554432,1,10795.13,3108.29,10691.714889828176,3138.3582844996017
67108864,1,21531.91,3116.72,21374.628351093277,3139.6505659742847
134217728,1,42941.39,3125.6,42740.45527362348,3140.29710588577
268435456,1,85681.59,3132.94,85472.10911868389,3140.6204757069813
536870912,1,171013.84,3139.34,170935.4168088047,3140.782185592953
